,author,book_title,nationality,strength,subject,year,year_range,cluster_5,farm,war,machine,family,philosophy,world war one,us civil war,art,sailor,feudalism,christianity,literature,science,factory,statistics,Race (human categorization),probability,industry,novel,city,fiction,nation,nature,revolution,liberalism,evolution,sex,taste,Feelings,manual labor,democracy,poetry,Charity (practice),capitalism,country,ebooks-unzipped/1228.txt,ebooks-unzipped/chance_and_luck.tex,ebooks-unzipped/euclid.tex,ebooks-unzipped/short_hist_math.tex
10,Adeline Sergeant,"A True Friend, A Novel",British,0.072257205845,art,1890,1890,3,0.0292779758604,0.0291161379306,0.022280226711,0.0720759453468,0.00756450948579,0.0274307741342,0.0186120587969,0.072257205845,0.0156268076618,0.0249754582853,0.0303307047676,0.0147690174039,0.0136384049657,0.0447239501924,0.0211312882587,0.0588287747496,0.00283314909105,0.0184373317497,0.0430293373516,0.0386283058525,0.0158186850979,0.0166408908518,0.0133065773704,0.0154376592074,0.0136035767404,0.0130484325525,0.0152510558652,0.0511282528375,0.0390314302535,0.017122378424,0.02375808875,0.0103483307609,0.0475355459163,0.0351070185198,0.00721587649431,0.0160575041995,0.0634217485676,0.00928170750789,0.062060505416
11,Adeline Sergeant,"Name and Fame, A Novel",British,0.191196595064,art,1890,1890,3,0.121230350311,0.10032632603,0.0392279515162,0.1629215672,0.0388805657817,0.129365495959,0.0917734961277,0.191196595064,0.0493955930003,0.111857319798,0.0760088030944,0.146998352958,0.0557827483554,0.0923831016755,0.0815654660658,0.100027565276,0.0277398014431,0.0728333633062,0.145824451764,0.0987361548101,0.059868656494,0.0734449835363,0.0421126988921,0.144440376011,0.0817324982736,0.0383837678906,0.0551586406711,0.0788945788897,0.0874845129933,0.056787217397,0.153914844281,0.0772290238911,0.0589076674251,0.1534717839,0.0959514109375,0.046021230728,0.142106457308,0.0316777970306,0.163012796135
12,Adeline Sergeant,"Under False Pretences, A Novel",British,0.157527383806,ebooks-unzipped/chance_and_luck.tex,1889,1890,3,0.0543982489574,0.0472208991282,0.0389898196655,0.102783306186,0.0277101379538,0.0842998940727,0.0404951154793,0.134012575544,0.0766351616128,0.0535773469172,0.0420123455793,0.0488639949632,0.0209591414278,0.058222112137,0.0405755479955,0.0334645669302,0.00673248602983,0.03453527873,0.0489478688601,0.0370698792618,0.0142902677345,0.0206998327182,0.0201495536685,0.03041368469,0.0324010076752,0.0230675967573,0.0224035354448,0.0871513405074,0.0267960363735,0.0426251426286,0.0471826049895,0.0375375029674,0.0546010418785,0.0669998056085,0.0495216095952,0.0438241015107,0.157527383806,0.00478665236933,0.0871857335806
13,Adeline Trafton,An American Girl Abroad,American,0.125513067518,art,1872,1880,2,0.0555530209079,0.103742145165,0.0396929751411,0.0682528558922,0.0156749236988,0.110187062342,0.0494087972457,0.125513067518,0.0640347490705,0.104169866994,0.0919817263208,0.0467912850049,0.0257156217473,0.0911777610468,0.0327988864457,0.056890479747,0.0161016842187,0.0453336687281,0.0993531326283,0.0642955520605,0.0333091053448,0.0536452779604,0.050094868103,0.0317378627792,0.0319583912489,0.0328710254985,0.0251381160253,0.0434568148388,0.050206251388,0.0299042395981,0.0651829704161,0.0430820177605,0.0401787789148,0.0549128452222,0.0436004306289,0.0474961523084,0.0924127135841,0.0480815450967,0.0948192075064
14,Agatha Christie,The Secret Adversary,British,0.0944314768581,Feelings,1922,1930,0,0.0127182127479,0.0782556191966,0.0122024104174,0.0740403705427,0.00785298847648,0.0385480856829,0.0459745392243,0.0437542507093,0.0903914303726,0.0255485412449,0.0193110966293,0.012890235876,0.0111789131886,0.0278683249351,0.071727273669,0.0317090369167,0.0268057913439,0.0196557681702,0.0782140888077,0.0194478858168,0.0190387396468,0.011831623658,0.0281345851805,0.0125266943178,0.0192853396215,0.014286855615,0.00488449282576,0.0233112651518,0.0944314768581,0.0263190439174,0.03551004376,0.00868024014627,0.00931044633186,0.0488403253852,0.00663769123618,0.00661333744569,0.0409401059099,0.0173248221432,0.0233929584977
15,Agatha Christie,The Mysterious Affair at Styles,British,0.142758782083,ebooks-unzipped/chance_and_luck.tex,1920,1920,4,0.0429698708126,0.0561729738941,0.0127928940174,0.0585716809829,0.0102192644527,0.0795526901637,0.0265312054524,0.0540192245787,0.0339816505149,0.0397363641196,0.0303280200089,0.0178244839222,0.0271146592701,0.0322048348073,0.094779760824,0.0516103920002,0.0664765166683,0.0185012000784,0.0113131679807,0.0308918143661,0.00684172755947,0.00813767581117,0.0181658681437,0.0195005167479,0.0276810364395,0.032022145065,0.0210623703447,0.0723932504306,0.0211380532808,0.0235135735634,0.0271174908348,0.003308045518,0.0414610168064,0.0440695543632,0.00524016823833,0.0394808825674,0.142758782083,0.00503802898559,0.0616832805632
16,Albert Payson Terhune,Further Adventures of Lad,American,0.100468089936,ebooks-unzipped/chance_and_luck.tex,1922,1930,4,0.0809345835159,0.0431956789907,0.0415952163184,0.0517988234409,0.00761258947289,0.051724496713,0.035518333227,0.0539360759643,0.0455602517253,0.0254693238421,0.0316284557852,0.0143937513952,0.0223004637719,0.0417297517599,0.0352297329715,0.0495941365168,0.0238457649415,0.0259776827986,0.00996717047559,0.0627267481529,0.0078493091341,0.0105994057617,0.0345842768696,0.0186490059709,0.0098155526003,0.0306036392046,0.0262338183948,0.0795803580315,0.0416970315488,0.0219644875306,0.0247224804804,0.00790894903529,0.021638869885,0.0459555370976,0.00630534670302,0.0309391938803,0.100468089936,0.0347157353527,0.0429360044344
17,Albert Payson Terhune,His Dog,American,0.17361345653,ebooks-unzipped/chance_and_luck.tex,1922,1930,4,0.162682502332,0.0364076663664,0.0148818582532,0.0230598950061,0.00769703205354,0.067181792929,0.0229521971989,0.037330245078,0.0331658110811,0.0535685190331,0.0323532305919,0.0245018735486,0.0249632072558,0.0534643081489,0.0194342094823,0.0587309722031,0.00495078592745,0.0331602253077,0.0284536923439,0.061325216208,0.00571783409719,0.0107588146705,0.0285209735892,0.0131035690575,0.0101862293345,0.01944786116,0.0207454658835,0.0940186886606,0.0430805588368,0.0319942619447,0.0252034750361,0.0549611954409,0.0179509024947,0.1146663098,0.0163781951048,0.0239999890213,0.17361345653,0.0348973714111,0.0597812337711
18,Albert Payson Terhune,Lad: A Dog,American,0.190793493474,ebooks-unzipped/chance_and_luck.tex,1919,1920,4,0.118071685072,0.0591227160741,0.0165948417788,0.0585930956003,0.0150750175104,0.119545053577,0.0436228935074,0.0542397086698,0.0466775348596,0.0463213510514,0.0435952663816,0.0334031436314,0.0263410015295,0.0566113087423,0.0284504219495,0.0437950920552,0.00605808323402,0.0369918827809,0.0528607269418,0.0816758279389,0.0346404644923,0.035025435575,0.0345066690906,0.0206380035301,0.0143620193676,0.0314401356775,0.0232471611799,0.0809672221912,0.0440563431401,0.0274688505703,0.0331876429393,0.0133071335288,0.0434852416463,0.0550075285011,0.0205555470398,0.0338225720702,0.190793493474,0.0373206550553,0.0594646764277
19,Albert Payson Terhune,Superwomen,American,0.161132651765,world war one,1916,1920,2,0.0926901110237,0.125773251235,0.0246935249617,0.1473778298,0.0418293733751,0.161132651765,0.139899340019,0.12946947764,0.107607652818,0.109324860518,0.0617419912613,0.130273580041,0.0432375403467,0.0755946441148,0.0348518919156,0.0514371984854,0.00808320209324,0.0651088820264,0.134734908045,0.0762585905579,0.0819671678515,0.0788477675955,0.0294053941901,0.134504973725,0.0765620447101,0.0443035493661,0.0326441118032,0.0524085762578,0.0557606923419,0.0476289807456,0.160912087911,0.0562477206374,0.04370973503,0.110409419237,0.0985945412412,0.0439992837633,0.127177549363,0.0117341288267,0.093829152453
20,Albert Payson Terhune,Buff: A Collie and other dog-stories,American,0.112288854765,ebooks-unzipped/chance_and_luck.tex,1921,1930,0,0.0746690586213,0.0859076440901,0.0177463753821,0.0882924603829,0.0122783316504,0.0686265003609,0.0405096328195,0.0384086856737,0.0861342991689,0.0274317401639,0.0310788530386,0.0100314095817,0.0179857331992,0.0638467443757,0.0407708154426,0.0326673715811,0.00567833987331,0.0302586898594,0.0422789402474,0.0297213820452,0.00299299456535,0.00797117567516,0.0605479074546,0.00908241341407,0.0184731905909,0.0224547656563,0.015109734728,0.0488099007442,0.0851376973811,0.0447329848787,0.0379107133609,0.00855020012102,0.0245760697522,0.0625309393906,0.0147518957871,0.0168499400833,0.112288854765,0.0154662878493,0.0342291134648
21,Aldous Huxley,Crome Yellow,British,0.188535142037,art,1921,1930,0,0.0628940262947,0.137365001757,0.0496848851686,0.0985739689159,0.0588009398288,0.113724236855,0.0681237691897,0.188535142037,0.100756997817,0.0903172579919,0.0934193782793,0.116394001928,0.0701066905206,0.0770103465177,0.0762632303855,0.0773518416979,0.013285985386,0.0736897740253,0.146555262134,0.0776736384699,0.0464394261716,0.0819245367136,0.0791195894591,0.0534959957705,0.0390191796286,0.115782251352,0.0582462316271,0.0466385448065,0.082900891663,0.0503031941012,0.0910999433299,0.080544197921,0.0362956314683,0.0925576135402,0.043581023301,0.10464634062,0.0992699516682,0.0244617237042,0.114071325024
22,Aldous Huxley,The Defeat of Youth and Other Poems,British,0.0821609611507,ebooks-unzipped/chance_and_luck.tex,1918,1920,3,0.0,0.0135631507779,0.023129320221,0.0243641092722,0.00109527618346,0.0258200184166,0.0119555913692,0.033310030537,0.0216449612829,0.00636148967545,0.0191204039314,0.00313003342647,0.00285653876504,0.0214335214057,0.00441198782027,0.00459586891771,0.000457525411905,0.00969864484957,0.00904483513202,0.00597771280894,0.00197400050059,0.00359252329454,0.0250850158749,0.00134059071899,0.00451060557027,0.0126475213914,0.00479843656978,0.0116258420033,0.0430346818748,0.00727198602173,0.0103753907643,0.0357568602755,0.00356771002068,0.0169711721865,0.0173757371272,0.0269300823616,0.0821609611507,0.00203559663985,0.0552097124139
23,Aldous Huxley,Mortal Coils,British,0.229701109991,literature,1922,1930,4,0.0623230714497,0.0534238723363,0.047299872947,0.053973452422,0.0213777841379,0.0635437098867,0.0417756334261,0.168895875175,0.0350428037266,0.0652831019362,0.0656892441139,0.229701109991,0.025080204562,0.0638836171675,0.0321028355097,0.0546050871208,0.00445904311353,0.0614221774984,0.126802575102,0.049832478633,0.0546926750999,0.0125994703587,0.0523393702515,0.0347270762858,0.0225146956995,0.0448302860096,0.0473694843014,0.0551737989717,0.036184320788,0.0301427081144,0.0339677483256,0.112924607937,0.0259215220467,0.0496377347316,0.009273076767,0.047573532455,0.100959160461,0.00349888240085,0.0656851659307
24,Aldous Huxley,The Burning Wheel,British,0.154538794351,poetry,1916,1920,2,0.0295531471861,0.027739728576,0.0494632297992,0.0545859542783,0.105280373964,0.0838185045124,0.0235463931168,0.0963190388057,0.0193762463102,0.0435385384887,0.0630970313148,0.0367256388525,0.0162462495484,0.0328382230111,0.00782332235401,0.00612223032003,0.00286155036741,0.00833267813851,0.0374945552932,0.0810243116918,0.0117757446153,0.00751413963311,0.0340399136138,0.00264261173706,0.0151600684737,0.00880789524597,0.00257802591911,0.0183442055252,0.0087711773013,0.00430728589582,0.015483422695,0.154538794351,0.00644760071137,0.0199060170331,0.00662354497827,0.00400103006913,0.020259890742,0.000429142500684,0.0272180286864
25,Alec Waugh,The Loom of Youth,British,0.349230520681,ebooks-unzipped/chance_and_luck.tex,1917,1920,3,0.107627068749,0.100633250222,0.0238124912492,0.0720754453482,0.0815549885007,0.110901788302,0.0434721441551,0.172205904485,0.0362683063987,0.0782952752695,0.0750782858742,0.139438990878,0.0527196849161,0.0533757026788,0.133003139695,0.0722042564749,0.0261463469774,0.091838208807,0.101625292123,0.0588667301321,0.0778049451947,0.0538122880107,0.0467606580315,0.12303555877,0.03658537828,0.0441988181526,0.0183123235554,0.0725376996687,0.0440568180517,0.0299388523885,0.0544561694298,0.180016889629,0.0462181710293,0.0661010386692,0.0532846068135,0.0273596357966,0.349230520681,0.0180156138061,0.143883061653
26,Alec Waugh,"The Lonely Unicorn, A novel",British,0.13771271475,ebooks-unzipped/chance_and_luck.tex,1922,1930,4,0.0391031344763,0.0362688942585,0.0315287300593,0.0539657947914,0.0165265510461,0.0571851175169,0.0182122225622,0.0643889101734,0.0111432318126,0.0325882279372,0.0259018954801,0.0432554349899,0.00961271640759,0.0458862885686,0.0467467047275,0.0335714286854,0.00499143972119,0.0219014058977,0.0667924382472,0.0241469611212,0.0212052525214,0.0194837173006,0.0138147406226,0.0364628589101,0.0144560317031,0.0323892670755,0.0232548531657,0.0245902887499,0.0404613555649,0.0145862068549,0.0357220032364,0.0413082616488,0.0124546413395,0.0401531380141,0.0271697174195,0.0291329952411,0.13771271475,0.0113725783295,0.0510211376452
27,Alec Waugh,"Roland Whately, A Novel",British,0.0927554064339,Feelings,1922,1930,0,0.0142341526533,0.0730901094175,0.0158388986367,0.0697610041267,0.0109261761778,0.0306355877,0.0397317789571,0.0469636368275,0.0750044348723,0.0228655247137,0.0243636675103,0.0185394205348,0.0088615593976,0.02438107347,0.0642159317335,0.0351108121518,0.00449567786384,0.0117948314699,0.0846736151868,0.0219223937151,0.0103539301697,0.0121461513103,0.0445723062855,0.0160857102917,0.0117534275747,0.0225978223013,0.0187855120861,0.0122739171246,0.0927554064339,0.0169660406499,0.0291187194718,0.0208900705834,0.00954151502895,0.0382289972628,0.00753600843845,0.00838758847783,0.0357525519842,0.00413979641714,0.0155767132545
28,Alfred Coppel,The Hills of Home,American,0.0852888187359,machine,2007,3000,4,0.0,0.00794678680489,0.0852888187359,0.018819856086,0.000591485215104,0.0124405938754,0.00439683625147,0.0721591573401,0.0290582965887,0.0373856992473,0.00303264511381,0.00347245558182,0.00380762687291,0.0574970343946,0.00997155410602,0.0380816330406,0.00413353656713,0.0,0.00501662485518,0.0218686906781,0.0,0.012771339378,0.0134782880114,0.00349043435643,0.00097105232472,0.00983580005749,0.0,0.0271390830268,0.0469647837111,0.0108815355101,0.00155759266774,0.0134703621888,0.00390179547486,0.010727763815,0.0,0.00259611154339,0.01277380876,0.00744035298178,0.0139220384288
29,Alfred Coppel,Turnover Point,American,0.0225425944477,ebooks-unzipped/short_hist_math.tex,2010,3000,4,0.0,0.0,0.0,0.00815127554728,0.00171226628833,0.0,0.00538853171986,0.00433186960914,0.0217261714161,0.0,0.00545329357331,0.0,0.00198219793915,0.0,0.00304358906562,0.00572304209215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00128087269034,0.00464142765402,0.0,0.0,0.00402485154212,0.0,0.0,0.0,0.0048513894971,0.0,0.00232145902508,0.0064587318334,0.00379478516581,0.0225425944477
30,Alfred Noyes,"The Lord of Misrule, And Other Poems",British,0.154348877652,nation,1915,1920,2,0.0160385596319,0.0782110288867,0.016599434282,0.0243045112826,0.00400559222212,0.101948852241,0.0266346896425,0.0331956531771,0.049811560144,0.0605929575691,0.0323869475489,0.00673728566212,0.00810848138086,0.0483263757812,0.00493585567015,0.00481970667882,0.00132982257209,0.065866595481,0.0107312468283,0.0208300872684,0.0120176739381,0.154348877652,0.0154922770413,0.00613550599413,0.0215410511866,0.00510527905122,0.00224918825948,0.00199929808838,0.0133057382058,0.0263205817437,0.0444861833559,0.00442978422598,0.00618579974309,0.0391109722937,0.0790511680348,0.00818296236468,0.0498528587055,0.000469806509267,0.0383798097985
31,Alfred Noyes,"Rada, A Belgian Christmas Eve",British,0.139228526662,christianity,1915,1920,2,0.023324127835,0.0549775655204,0.0203417629999,0.0185842365109,0.00414021849595,0.0490321839395,0.0129271237221,0.0600968733053,0.00475761089239,0.0226941039355,0.139228526662,0.00971944095157,0.00774738072297,0.0303169648844,0.00111721914088,0.0125714967323,0.0,0.037484665728,0.0231136453596,0.0171095616729,0.00107377811007,0.0537696904964,0.00549858496901,0.00371607566752,0.0128867330897,0.00249331127191,0.00514172801095,0.0251137363961,0.0214618481166,0.0101897670858,0.0359811353536,0.00930108698905,0.00907596505244,0.018186781869,0.0656756134638,0.00579844392294,0.0574712652923,0.000985047557125,0.0198278924872
32,Algernon Blackwood,The Man Whom the Trees Loved,British,0.227156652415,art,2016,3000,3,0.0365293947155,0.0739704124528,0.0246150947162,0.0461889132626,0.0155961125304,0.0830463125024,0.0276317805025,0.227156652415,0.0350363094835,0.0383332573927,0.0645833416801,0.0195502366737,0.0604773631188,0.122106846341,0.0409737264952,0.066867168302,0.00870273477907,0.0307526636112,0.0192555706919,0.049405247437,0.00775121747074,0.0130153990021,0.0886071720874,0.027388489502,0.0197824761784,0.057151581125,0.147788649015,0.0852793465487,0.036167532013,0.0256184030787,0.0492977234595,0.0345669829658,0.0172492666164,0.0469313038083,0.0377478986132,0.0796238109437,0.0756119973643,0.0172045755167,0.0766804565542
33,Algernon Blackwood,The Willows,British,0.108284298874,country,1907,1910,1,0.0203531943889,0.0172197842348,0.0469059586228,0.0238869464758,0.00325269001049,0.0304209573013,0.00984777787858,0.0261504749529,0.0182454790217,0.0372228661674,0.0173118791239,0.00586117478098,0.00266412288848,0.0177374548728,0.0217976839797,0.0186383126266,0.00205354505508,0.0213177309718,0.0190416173111,0.0461144360561,0.00837172374214,0.0127804320844,0.032494822934,0.00677023313403,0.00650878758217,0.00767120480272,0.0102971113835,0.0319291890687,0.027790982773,0.00881348210811,0.0251414948133,0.00824108475102,0.00481730916505,0.0256763489579,0.108284298874,0.0479668588407,0.0241542660217,0.00589714481314,0.0364330504981
34,Algernon Blackwood,The Empty House And Other Ghost Stories,British,0.0905698083687,ebooks-unzipped/chance_and_luck.tex,1906,1910,1,0.043378235208,0.0299628675053,0.019810091017,0.0402340855165,0.00637122446159,0.0463288121751,0.0278354893688,0.0531946268862,0.0218526488969,0.0374220471663,0.0238408547385,0.0309880289556,0.00989545968515,0.0318154762867,0.0342271362286,0.0316176174534,0.00632002716778,0.028353208979,0.0182841568959,0.0293120049467,0.00872068821661,0.0113662389982,0.0243845482299,0.0156656484807,0.00903128274962,0.0157141913158,0.0137217565086,0.081638904109,0.0729225821914,0.0219733962038,0.0249954934351,0.00860814305472,0.01833135071,0.0425174922557,0.0462507160298,0.0384221654997,0.0905698083687,0.0593347918025,0.0760126556522
35,Algernon Blackwood,"Jimbo, A Fantasy",British,0.0839228806451,Feelings,1909,1910,4,0.0216153864398,0.0220187113158,0.021268253218,0.0346887038472,0.00688198220026,0.0373259417075,0.0158812498114,0.0434873616012,0.023569337656,0.020067596456,0.0216879360316,0.0141996218246,0.020536714817,0.0188242529342,0.0313706172081,0.0221358803531,0.0205914865679,0.0295399308745,0.0137135639539,0.0319194097244,0.00661298441819,0.0104639684472,0.0427433340036,0.0123493419248,0.00889788383356,0.0161361121743,0.00969555629552,0.0688043779504,0.0839228806451,0.0195681567539,0.0141379502134,0.0325085920482,0.00991580119119,0.0327154803834,0.0339320472747,0.0267246327615,0.0787406817926,0.0767986294454,0.0628903150406
36,Algernon Blackwood,The Bright Messenger,British,0.178710605136,ebooks-unzipped/short_hist_math.tex,1921,1930,3,0.0759913595592,0.0797870152422,0.0808000746881,0.101097570502,0.0261416312028,0.124821901612,0.0492112200463,0.157949915424,0.0348738018415,0.114438219634,0.0812878058997,0.046020006996,0.112132509447,0.120852358505,0.100927218956,0.0965664788673,0.0274481120782,0.105767279071,0.0396157221257,0.11103399504,0.0261310570403,0.0435181655865,0.107891252146,0.0330964470417,0.0259559292328,0.083861000433,0.100734526426,0.134973422894,0.1103186831,0.0512235409388,0.0674617158347,0.0322013537099,0.0354594334484,0.100949983744,0.0498079288193,0.0839655393294,0.156852218555,0.068405490919,0.178710605136
37,Algernon Blackwood,"John Silence, Physician Extraordinary",British,0.144219615037,Feelings,1947,3000,1,0.0628929257285,0.0928741991508,0.0419247788245,0.105772770016,0.0218727022569,0.122163577554,0.0679669354021,0.132117960179,0.131229757519,0.0746176094599,0.0781474586027,0.0385815971028,0.0401042167308,0.0898264925863,0.0938906604752,0.0845384787677,0.0295759201955,0.0624803765827,0.0609440995146,0.0975303290928,0.0195086393999,0.0467069707082,0.104396768551,0.0354491527181,0.0289579477922,0.0613106421347,0.032259877426,0.101012101877,0.144219615037,0.061267159376,0.070497662308,0.0211162783622,0.0385685816316,0.102138858637,0.119884001196,0.0831403706335,0.110878228552,0.0159890933217,0.0952767519357
