,date,title
67,[1852],"Aunt Phillis's Cabin, Or, Southern Life As It Is"
68,[1852],The Blithedale Romance
69,[1853],Life in the Clearings versus the Bush
70,[1853],Little Ferns For Fanny's Little Friends
71,[1853],"Mark Hurdlestone, Or, The Two Brothers"
72,[1853],Tanglewood Tales
73,[1853],Time's Portraiture
74,[1853],"Loss and Gain, The Story of a Convert"
75,[1853],"Helen and Arthur, or, Miss Thusa's Spinning Wheel"
76,[1854],Hard Times
77,[1854],Hide and Seek
78,[1855],"We and Our Neighbors, or, The Records of an Unfashionable Street"
79,[1855],Sermons for the Times
80,[1855],Westward Ho!
81,[1855],The Newcomes
82,[1856],It Is Never Too Late to Mend
83,[1856],The Golden Legend
84,[1857],The Three Clerks
85,[1857],The Lazy Tour of Two Idle Apprentices
86,[1858],Doctor Thorne
87,[1858],My Lady Ludlow
88,[1858],Andromeda and Other Poems
89,[1859],The Cloister and the Hearth
90,[1859],"The Ordeal of Richard Feverel, Complete"
91,[1859],The Bertrams
92,[1859],Round the Sofa
93,[1859],Adam Bede
94,[1859],"A Tale of Two Cities, A Story of the French Revolution"
95,[1860],The Mill on the Floss
96,[1860],Gryll Grange
97,[1860],A Message from the Sea
98,[1860],Great Expectations
99,[1861],Town and Country Sermons
100,[1861],Tom Tiddler's Ground
101,[1861],"Silas Marner, The Weaver of Raveloe"
102,[1861],Framley Parsonage
103,[1861],Orley Farm
104,[1861],"The Pearl of Orr's Island, A Story of the Coast of Maine"
105,[1862],Agnes of Sorrento
106,[1863],A Ride across Palestine
107,[1863],Romola
108,[1863],A Dark Night's Work
109,[1863],The Gospel of the Pentateuch
110,[1863],Some Roundabout Papers
111,[1863],Rachel Ray
112,[1863],The Water-Babies
113,[1864],Mrs. Lirriper's Legacy
114,[1864],"The Snow-Image, A Childish Miracle"
115,[1864],"The Roman and the Teuton, A Series of Lectures delivered before the University of Cambridge"
116,[1864],The Small House at Allington
117,[1865],"Hans Brinker, or The Silver Skates"
118,[1865],Our Mutual Friend
119,[1866],Battle-Pieces and Aspects of the War
120,[1866],Curious Myths of the Middle Ages
121,[1866],The Claverings
122,[1867],The Mysterious Key And What It Opened
123,[1867],"Cecil Castlemaine's Gage, Lady Marabout's Troubles, and Other Stories"
124,[1867],The Last Chronicle of Barset
125,[1867],Beatrice Boville and Other Stories
126,[1867],A Book About Lawyers
127,[1867],Linda Tressel
128,[1867],Nina Balatka
129,[1867],Italian Journeys
130,[1868],George Silverman's Explanation
131,[1868],Holidays at Roselands
132,[1868],Elsie's New Relations
133,[1868],"Discipline, and Other Sermons"
134,[1868],Little Women
135,[1868],The Moonstone
136,[1868],March to Magdala
137,[1869],An Old-fashioned Girl
138,[1869],How Lisa Loved the King
139,[1869],"Madam How and Lady Why, or, First Lessons in Earth Lore for Children"
140,[1870],Put Yourself in His Place
141,[1870],An Essay In Aid Of A Grammar Of Assent
142,[1870],"Mr. Blake's Walking-Stick, A Christmas Story for Boys and Girls"
143,[1871],Bred in the Bone
144,[1871],Desperate Remedies
145,[1871],A  Passionate Pilgrim
146,[1871],Sir Harry Hotspur of Humblethwaite
147,[1872],An American Girl Abroad
148,[1872],"The End Of The World, A Love Story"
149,[1872],"Boscobel: or, the royal oak, A tale of the year 1651"
150,[1872],Middlemarch
151,[1873],Plays and Puritans
152,[1873],South-Sea Idyls
153,[1873],"Woman in Sacred History, A Series of Sketches Drawn from Scriptural, Historical,, and Legendary Sources"
154,[1874],The Vicissitudes of Bessie Fairfax
155,[1874],Baddeck and That Sort of Thing
156,[1874],Far from the Madding Crowd
157,[1874],The Manchester Rebels of the Fatal '45
158,[1874],An Old Town By The Sea
159,[1874],Phineas Redux
160,[1874],The Dead Alive
161,[1875],The Hand of Ethelberta
162,[1875],A Midnight Fantasy
163,[1875],Elsie's Womanhood
164,[1875],"Rose and Roof-Tree, Poems"
165,[1875],"The Young Outlaw, or, Adrift in the Streets"
166,[1875],The Way We Live Now
167,[1875],The Uncommercial Traveller
168,[1876],A Study of Hawthorne
169,[1876],Elsie's Motherhood
170,[1876],"Sam's Chance, And How He Improved It"
171,[1876],The American Senator
172,[1876],The Two Destinies
173,[1877],Elsie's children
174,[1877],The Wisdom of Fools
175,[1877],Is He Popenjoy?
176,[1877],The House on the Beach
177,[1878],The Return of the Native
178,[1878],"The Young Adventurer, or Tom's Trip Across the Plains"
179,[1879],The Lady of the Aroostook
180,[1879],The Egoist
181,[1879],An Eye for an Eye
182,[1880],"British Goblins, Welsh Folk-lore, Fairy Mythology, Legends and Traditions"
183,[1880],"Rodman the Keeper, Southern Sketches"
184,[1880],Saint George for England
185,[1880],The Duke's Children
186,[1880],Yellow-Cap and Other Fairy-Stories For Children
187,[1880],Monte-Cristo's Daughter
188,[1880],Jezebel's Daughter
189,[1880],Dr. Heidenhoff's Process
190,[1880],Eugene Pickering
191,[1880],Kept in the Dark
192,[1881],The Hoosier School-boy
193,[1881],"In Times of Peril, A Tale of India"
194,[1881],"The Cornet of Horse, A Tale of Marlborough's Wars"
195,[1881],Mildred and Elsie
196,[1881],Some Private Views
197,[1881],The Black Robe
198,[1881],Who Was Paul Grayson?
199,[1881],"The Tragic Comedians, Complete"
200,[1882],The Revolt of Man
201,[1882],"Under Drake's Flag, A Tale of the Spanish Main"
202,[1882],The Fixed Period
203,[1882],A Modern Instance
204,[1882],Grandmother Elsie
205,[1883],The Romantic Adventures of a Milkmaid
206,[1883],"The Essays of ""George Eliot"", Complete"
207,[1883],Spanish Vistas
208,[1883],Mr. Scarborough's Family
209,[1884],The Author Of Beltraffio
210,[1884],A Perilous Secret
211,[1884],Elsie at Nantucket
212,[1885],Strange Stories from History for Young People
213,[1885],"The Shadow of a Crime, A Cumbrian Romance"
214,[1885],A Rainy June and Other Stories
215,[1885],"The Book-lover, A Guide to the Best Reading"
216,[1885],"True to the Old Flag, A Tale of the American War of Independence"
217,[1885],The Philosophy of Disenchantment
218,[1885],King Solomon's Mines
219,[1886],The Lazy Minstrel
220,[1886],The Mayor of Casterbridge
221,[1886],"A Final Reckoning, A Tale of Bush Life in Australia"
222,[1886],The inner house
223,[1886],A Romance of Two Worlds
224,[1886],East Angels
225,[1886],Elsie's Kith and Kin
226,[1886],"The Dragon and the Raven, or, The Days of King Alfred"
227,[1886],"For Name and Fame, Or Through Afghan Passes"
228,[1887],"The Bravest of the Brave, or, with Peterborough in Spain"
229,[1887],A Tale of Three Lions
230,[1887],The Woodlanders
231,[1887],The Flamingo Feather
232,[1887],The Story of a New York House
233,[1887],"The Graysons, A Story of Illinois"
234,[1887],Country Luck
235,[1887],Allan Quatermain
236,[1888],Sara Crewe
237,[1888],Christmas with Grandma Elsie
238,[1888],"For the Temple, A Tale of the Fall of Jerusalem"
239,[1888],The Legacy of Cain
240,[1888],"Colonel Quaritch, V.C., A Tale of Country Life"
241,[1888],"Eden, An Episode"
242,[1888],The Lesson of the Master
243,[1888],"In the Reign of Terror, The Adventures of a Westminster Boy"
244,[1888],"Orange and Green, A Tale of the Boyne and Limerick"
245,[1888],"Tom, The Bootblack, or, The Road to Success"
246,[1888],"Eve, A Novel"
247,[1889],"Under False Pretences, A Novel"
248,[1889],"A Transient Guest, and Other Episodes"
249,[1889],"Ardath, The Story of a Dead Self"
250,[1889],"The Bondman, A New Saga"
251,[1889],A London Life; The Patagonia; The Liar; Mrs. Temperly
252,[1889],Stage-Land
253,[1889],Cleopatra
254,[1889],"The Pace That Kills, A Chronicle"
255,[1889],The Nether World
256,[1890],"A True Friend, A Novel"
257,[1890],"Name and Fame, A Novel"
258,[1890],"Armorel of Lyonesse, A Romance of To-day"
259,[1890],"The Danvers Jewels, and Sir Charles Danvers"
260,[1890],Mrs. Pendleton's Four-in-hand
261,[1890],The Tragic Muse
262,[1890],A Hazard Of New Fortunes
263,[1890],"With Lee in Virginia, A Story of the American Civil War"
264,[1890],Eric Brighteyes
265,[1890],"Under Orders, The story of a young reporter"
266,[1890],"Kit and Kitty, A Story of West Middlesex"
267,[1890],The Emancipated
268,[1891],"The Iron Game, A Tale of the War"
269,[1891],With Edge Tools
270,[1891],"Campmates, A Story of the Plains"
271,[1891],Other Main-Travelled Roads
272,[1891],Elsie's Vacation and After Events
273,[1891],A Group of Noble Dames
274,[1891],New Grub Street
275,[1891],American Notes
276,[1891],"Maori and Settler, A Story of The New Zealand War"
277,[1892],"The Goddess of Atvatabar, Being the history of the discovery of the interior world, and conquest of Atvatabar"
278,[1892],An Artist in Crime
279,[1892],Born in Exile
280,[1892],The Old Maids' Club
281,[1892],Nada the Lily
282,[1892],Boyhood in Norway
283,[1892],Prairie Folks
284,[1892],The Master of Silence
285,[1892],Barrack-Room Ballads
286,[1892],"The Dragon of Wantley, His Tale"
287,[1892],"Cab and Caboose, The Story of a Railroad Boy"
288,[1892],"A Spoil of Office, A Story of the Modern West"
289,[1893],"Beric the Briton, A Story of the Roman Invasion"
290,[1893],The Boss of Taroomba
291,[1893],The History of London
292,[1894],The Death of the Lion
293,[1894],The Jungle Book
294,[1894],"Perlycross, A Tale of the Western Hills"
295,[1894],Bayou Folk
296,[1894],"Martin Hewitt, Investigator"
297,[1894],The Water Ghost and Others
298,[1894],"The King of Schnorrers, Grotesques and Fantasies"
299,[1894],In Exile and Other Stories
300,[1894],The People Of The Mist
301,[1894],When London Burned
302,[1894],"In the Heart of the Rockies, A Story of Adventure in Colorado"
303,[1894],In the Year of Jubilee
304,[1894],The Prisoner of Zenda
305,[1895],"The Tiger of Mysore, A Story of the War with Tippoo Saib"
306,[1895],Elsie's Journey on Inland Waters
307,[1895],The Black Riders and Other Lines
308,[1895],Eve's Ransom
309,[1895],Jude the Obscure
310,[1895],In the Day of Adversity
311,[1895],Mr. Bonaparte of Corsica
312,[1895],Stories of American Life and Adventure
313,[1895],"Two Little Pilgrims' Progress, A Story of the City Beautiful"
314,[1895],The Life of Nancy
315,[1895],"Almayer's Folly, A Story of an Eastern River"
316,[1896],"Yekl, A tale of the New York ghetto"
317,[1896],Tales From the Telling-House
318,[1896],A Lady of Quality
319,[1896],The Island of Doctor Moreau
320,[1896],A Rebellious Heroine
321,[1896],"On the Irrawaddy, A Story of the First Burmese War"
322,[1896],The Bicyclers and Three Other Farces
323,[1896],"The Landlord at Lion's Head, Volume 2"
324,[1896],Household Papers and Stories
325,[1896],"Religious Studies, Sketches and Poems"
326,[1896],"The Little Regiment, And Other Episodes of the American Civil War"
327,[1896],A Vanished Hand
328,[1896],An Outcast of the Islands
329,[1896],Try and Trust
330,[1897],The Whirlpool
331,[1897],Mother Goose in Prose
332,[1897],The Decoration of Houses
333,[1897],"The Happy Hypocrite, A Fairy Tale For Tired Men"
334,[1897],The Third Violet
335,[1897],The Open Boat and Other Stories
336,[1897],Bye-Ways
337,[1897],"True Detective Stories, From the archives of the Pinkertons"
338,[1897],The Beautiful Miss Brooke
339,[1897],"Clash of Arms, A Romance"
340,[1897],"The Christian, A Story"
341,[1897],Liza of Lambeth
342,[1897],The Queen's Cup
343,[1897],Certain Personal Matters
344,[1897],The People For Whom Shakespeare Wrote
345,[1897],"Across the Salt Seas, A Romance of the War of Succession"
346,[1897],"Ziska, The Problem of a Wicked Soul"
347,[1897],"Twelve Naval Captains, Being a Record of Certain Americans Who Made Themselves Immortal"
348,[1897],"""Captains Courageous"""
349,[1897],Lin McLean
350,[1897],Verses 1889-1896
351,[1897],A March on London
352,[1898],"The Imported Bridegroom, And Other Stories of the New York Ghetto"
353,[1898],Ghosts I have Met and Some Others
354,[1898],"Under Wellington's Command, A Tale of the Peninsular War"
355,[1898],Moonfleet
356,[1898],Tales of Unrest
357,[1898],Youth
358,[1898],The Unknown Sea
359,[1898],"Both Sides the Border, A Tale of Hotspur and Glendower"
360,[1898],The Town Traveller
361,[1898],The War of the Worlds
362,[1898],Comedies and Errors
363,[1898],"A Prisoner of Morro, In the Hands of the Enemy"
364,[1898],"The Scourge of God, A Romance of Religious Persecution"
365,[1898],The Second Thoughts of an Idle Fellow
366,[1898],"A Boy's Fortune, Or, The Strange Adventures of Ben Baker"
367,[1898],Elsie on the Hudson
368,[1899],Love and Mr. Lewisham
369,[1899],The Amateur Cracksman
370,[1899],"The Monster and Other Stories, The Monster; The Blue Hotel; His New Mittens"
371,[1899],"Mark Mason's Victory, The Trials and Triumphs of a Telegraph Boy"
372,[1899],"A Bitter Heritage, A Modern Story of Love and Adventure"
373,[1899],Ade's Fables
374,[1899],Red Pottage
375,[1899],Fables in Slang
376,[1899],The Surprising Adventures of the Magical Monarch of Mo and His People
377,[1899],The Queen's Twin and Other Stories
378,[1899],In Connection with the De Willoughby Claim
379,[1899],The Enchanted Typewriter
380,[1899],"A Roving Commission, Or, Through the Black Insurrection at Hayti"
381,[1899],Indian Tales
382,[1899],"Fortune's My Foe, A Romance"
383,[1899],Betty Leicester's Christmas
384,[1900],The Life and Death of Richard Yea-and-Nay
385,[1900],"In the Irish Brigade, A Tale of War in Flanders and Spain"
386,[1900],The Little Colonel's House Party
387,[1900],The Visits of Elizabeth
388,[1900],Critical Studies
389,[1900],The Fourth Generation
390,[1900],"The Booming of Acre Hill, And Other Reminiscences of Urban and Suburban Life"
391,[1900],The Grand Babylon Hotel
392,[1900],Senator North
393,[1900],Monsieur Beaucaire
394,[1900],The Son of the Wolf
395,[1900],The Touchstone
396,[1900],Three Men on the Bummel
397,[1900],The Idiot at Home
398,[1900],The Wallet of Kai Lung
399,[1900],In the Hands of the Cave-Dwellers
400,[1900],"The Nerve of Foley, And Other Railroad Stories"
401,[1900],Interpretations of Poetry and Religion
402,[1900],More Fables
403,[1900],The Moon Metal
404,[1900],A Modern Utopia
405,[1900],The Light in the Clearing
406,[1900],The Master-Christian
407,[1900],Concerning Children
408,[1900],A Beautiful Alien
409,[1900],"The Kipling Reader, Selections from the Books of Rudyard Kipling"
410,[1901],"The Master Key, An Electrical Fairy Tale"
411,[1901],Graustark
412,[1901],A Hermit of Carmel and Other Poems
413,[1901],Helmet of Navarre
414,[1901],"The History of Sir Richard Calmady, A Romance"
415,[1901],The Little Colonel's Holidays
416,[1901],The Octopus
417,[1901],Crucial Instances
418,[1901],The Puppet Crown
419,[1901],The Inheritors
420,[1901],"Held for Orders, Being Stories of Railroad Life"
421,[1901],The First Men in the Moon
422,[1901],"Raffles, Further Adventures of the Amateur Cracksman"
423,[1901],A Pair of Patient Lovers
424,[1901],"By the Ionian Sea, Notes of a Ramble in Southern Italy"
425,[1901],"Other Worlds, Their Nature, Possibilities and Habitability in the Light of the Latest Discoveries"
426,[1902],The Little Colonels Hero
427,[1902],End of the Tether
428,[1902],The Shadow of the Czar
429,[1902],Francezka
430,[1902],"The Virginian, A Horseman Of The Plains"
431,[1902],Mrs. Craddock
432,[1902],Elsie's Winter Trip
433,[1902],"Dorothy South, A Love Story of Virginia Just Before the War"
434,[1902],Just So Stories
435,[1902],The Pagan's Cup
436,[1902],The Two Vanrevels
437,[1902],Bikey the Skicycle and Other Tales of Jimmieboy
438,[1902],The Shadow of the Rope
439,[1902],The Lady Paramount
440,[1902],In the Footprints of the Padres
441,[1903],The Little Colonel at Boarding-School
442,[1903],"Before the Dawn, A Story of the Fall of Richmond"
443,[1903],The Call of the Wild
444,[1903],"On Guard, Mark Mallory's Celebration"
445,[1903],Tea-Table Talk
446,[1903],"The home, its work and influence"
447,[1903],The Daughter of a Magnate
448,[1903],A Touch Of Sun And Other Stories
449,[1903],Elsie and Her Loved Ones
450,[1903],A Book of North Wales
451,[1903],Hawthorne and His Circle
452,[1903],"With Kitchener in the Soudan, A Story of Atbara and Omdurman"
453,[1903],Questionable Shapes
454,[1903],The Grey Cloak
455,[1903],"A Deal in Wheat, And Other Stories of the New and Old West"
456,[1904],Traffics and Discoveries
457,[1904],"Time's Laughingstocks, and Other Verses"
458,[1904],Tommy and Co.
459,[1904],Veranilda
460,[1904],"A Great Man, A Frolic"
461,[1904],In the Closed Room
462,[1904],"The Rover Boys in Camp, or, The Rivals of Pine Island"
463,[1904],The Sea-Wolf
464,[1904],The Little Colonel in Arizona
465,[1904],"The Admirable Tinker, Child of the World"
466,[1904],A Book of Ghosts
467,[1904],The Island Pharisees
468,[1904],William Tell Told Again
469,[1904],American Boy's Life of Theodore Roosevelt
470,[1904],"Vergilius, A Tale of the Coming of Christ"
471,[1904],The Merry-go-round
472,[1904],"A Captain in the Ranks, A Romance of Affairs"
473,[1904],"On the Trail of Pontiac, or, The Pioneer Boys of the Ohio"
474,[1904],The Master Mummer
475,[1904],The Day of the Dog
476,[1905],"The White Terror and The Red, A novel of revolutionary Russia"
477,[1905],The Spoilers
478,[1905],The Sword of Gideon
479,[1905],Lady Baltimore
480,[1905],Editorial Wild Oats
481,[1905],Passing of the Third Floor Back
482,[1905],"Kipps, The Story of a Simple Soul"
483,[1905],The House of a Thousand Candles
484,[1905],The Club of Queer Trades
485,[1905],The Vicissitudes of Evangeline
486,[1905],The Little Colonel's Christmas Vacation
487,[1905],Our Little French Cousin
488,[1905],"Soldier Rigdale, How He Sailed in the Mayflower and How He Served Miles Standish"
489,[1905],The Purple Parasol
490,[1905],The Opal Serpent
491,[1905],The Tyranny of the Dark
492,[1905],The Mirror of Kong Ho
493,[1905],The Beautiful Lady
494,[1905],The Motormaniacs
495,[1905],"In the Arena, Stories of Political Life"
496,[1905],"Love of Life, and Other Stories"
497,[1906],"Beyond The Rocks, A Love Story"
498,[1906],"Hugo, A Fantasia on Modern Themes"
499,[1906],Our Little Scotch Cousin
500,[1906],Cowardice Court
501,[1906],The Chase of the Golden Plate
502,[1906],In the Days of the Comet
503,[1906],Andiron Tales
504,[1906],The Empty House And Other Ghost Stories
505,[1906],"The Treasure of Heaven, A Romance of Riches"
506,[1906],In Pastures New
507,[1906],"Prisoners, Fast Bound In Misery And Iron"
508,[1906],"The Mirror of the Sea, Memories and Impressions"
509,[1906],"In Vanity Fair, A Tale of Frocks and Femininity"
510,[1906],The Tracer of Lost Persons
511,[1906],Half a Rogue
512,[1906],The King of Gee-Whiz
513,[1906],John Dough and the Cherub
514,[1906],"The History of Richard Raynal, Solitary"
515,[1907],"Four Afloat, Being the Adventures of the Big Four on the Water0"
516,[1907],Rosalind at Red Gate
517,[1907],The Education of Henry Adams
518,[1907],My Lady Caprice
519,[1907],Policeman Bluejay
520,[1907],The Willows
521,[1907],The Range Dwellers
522,[1907],"The Story of the Outlaw, A Study of the Western Desperado"
523,[1907],"The Boats of the ""Glen Carrig"""
524,[1907],Ghetto Comedies
525,[1907],Madame de Treymes
526,[1907],"Ancestors, A Novel"
527,[1907],Before Adam
528,[1907],Lord of the World
529,[1907],The Port of Missing Men
530,[1907],The Little Colonel's Knight Comes Riding
531,[1907],"Moth and Rust, Together with Geoffrey's Wife and The Pitfall"
532,[1907],Our Little Hindu Cousin
533,[1907],The Daughter of Anderson Crow
534,[1907],Fair Margaret
535,[1908],Judith of the Cumberlands
536,[1908],Fennel and Rue
537,[1908],The Circular Staircase
538,[1908],Devonshire Characters and Strange Events
539,[1908],The Man From Brodney's
540,[1908],The Iron Heel
541,[1908],The Green Mummy
542,[1908],A Personal Record
543,[1908],The Angel and the Author - and Others
544,[1908],The Courage of Captain Plum
545,[1908],"The Adopting of Rosa Marie, A Sequel to Dandelion Cottage"
546,[1908],The Young Alaskans
547,[1908],A Set of Six
548,[1908],"The Gun Club Boys of Lakeport, Or, The Island Camp"
549,[1908],Orthodoxy
550,[1908],The Hermit and the Wild Woman and Other Stories
551,[1909],The Diamond Master
552,[1909],The Ruinous Face
553,[1909],"The Hand-Made Gentleman, A Tale of the Battles of Peace"
554,[1909],Happy Hawkins
555,[1909],Italian Hours
556,[1909],Actions and Reactions
557,[1909],The Struggle for Missouri
558,[1909],54-40 or Fight
559,[1909],When a Man Marries
560,[1909],The Road to Oz
561,[1909],The Goose Girl
562,[1909],Tremendous Trifles
563,[1909],The Last Trail
564,[1909],The Lilac Girl
565,[1909],"The Third Class at Miss Kaye's, A School Story"
566,[1909],Martin Eden
567,[1909],The Autobiography of Methuselah
568,[1909],Ann Veronica
569,[1909],"Jimbo, A Fantasy"
570,[1909],The Romance of a Plain Man
571,[1910],"Reginald in Russia, and Other Sketches"
572,[1910],Sea Warfare
573,[1910],Regeneration
574,[1910],The History of Mr. Polly
575,[1910],"The Native Born, or, The Rajah's People"
576,[1910],Alarms and Discursions
577,[1910],"Three Philosophical Poets, Lucretius, Dante, and Goethe"
578,[1910],"Mary Cary, ""Frequently Martha"""
579,[1910],Molly Make-Believe
580,[1910],The Rose in the Ring
581,[1910],The Way to Peace
582,[1910],A Splendid Hazard
583,[1910],A Man of Two Countries
584,[1910],The Heritage of the Desert
585,[1910],The Finer Grain
586,[1910],The Quest of the Sacred Slipper
587,[1910],The Broad Highway
588,[1910],Lost Face
589,[1910],"Dave Porter at Star Ranch, Or, The Cowboy's Secret"
590,[1910],Morning Star
591,[1910],The Danger Trail
592,[1910],The Young Continentals at Bunker Hill
593,[1911],The Sea Fairies
594,[1911],Her Weight in Gold
595,[1911],The Secret Garden
596,[1911],The Carpet from Bagdad
597,[1911],Philip Steele of the Royal Northwest Mounted Police
598,[1911],The Celestial Omnibus and other Stories
599,[1911],Ethan Frome
600,[1911],The Book of Khalid
601,[1911],Red Eve
602,[1911],The Strength of the Strong
603,[1911],The Two-Gun Man
604,[1911],The Outcry
605,[1911],The Iron Woman
606,[1911],"What Happened at Quasi, The Story of a Carolina Cruise"
607,[1911],The Prodigal Judge
608,[1911],Denry the Audacious
609,[1911],"The Master of Mrs. Chilvers, An Improbable Comedy"
610,[1911],"Dave Porter and His Rivals, or, The Chums and Foes of Oak Hall"
611,[1911],A Texas Ranger
612,[1911],The Life Everlasting:  A Reality of Romance
613,[1911],Appreciations and Criticisms of the Works of Charles Dickens
614,[1911],Under Western Eyes
615,[1911],Miss Gibbie Gault
616,[1911],Dead Man's Plack and an Old Thorn
617,[1911],"The Daring Twins, A Story for Young Folk"
618,[1911],The Innocence of Father Brown
619,[1911],The Honor of the Big Snows
620,[1911],South Sea Tales
621,[1911],The Chronicles of Clovis
622,[1911],The Blue Rose Fairy Book
623,[1911],The Miller Of Old Church
624,[1911],When God Laughs and Other Stories
625,[1912],The Holiday Round
626,[1912],The Place of Honeymoons
627,[1912],Daddy-Long-Legs
628,[1912],A Son Of The Sun
629,[1912],What Diantha Did
630,[1912],Songs from Books
631,[1912],The Man in Lonely Land
632,[1912],Flower of the North
633,[1912],"Jack Straw, A Farce in Three Acts"
634,[1912],"Your United States, Impressions of a first visit"
635,[1912],The Story of a Round-House and Other Poems
636,[1912],Uncle Noah's Christmas Inspiration
637,[1912],The Unbearable Bassington
638,[1912],Lonesome Land
639,[1912],"A Son of Perdition, An Occult Romance"
640,[1912],Come Rack! Come Rope!
641,[1912],A Christmas Garland
642,[1912],The Lady Doc
643,[1913],"Carnacki, The Ghost Finder"
644,[1913],"The Old Adam, A Story of Adventure"
645,[1913],Child of Storm
646,[1913],Crooked Trails and Straight
647,[1913],The Insidious Dr. Fu-Manchu
648,[1913],T. Tembarom
649,[1913],Lore of Proserpine
650,[1913],Domnei
651,[1913],"Roast Beef, Medium"
652,[1913],The Patchwork Girl of Oz
653,[1913],The Young Alaskans in the Rockies
654,[1913],O Pioneers!
655,[1913],Witching Hill
656,[1913],The Victorian Age in Literature
657,[1913],"The Duchess of Wrexe, Her Decline and Death; A Romantic Commentary"
658,[1913],The Case of Jennie Brice
659,[1913],A Prisoner in Fairyland
660,[1913],Helen Redeemed and Other Poems
661,[1913],John Barleycorn
662,[1913],Joan Thursday
663,[1914],At the Earths Core
664,[1914],Tik-Tok of Oz
665,[1914],The After House
666,[1914],"A Daughter of the Dons, A Story of New Mexico Today"
667,[1914],The Street of Seven Stars
668,[1914],The Prince of Graustark
669,[1914],The Brother of Daphne
670,[1914],"The Lone Wolf, A Melodrama"
671,[1914],Beasts and Super-Beasts
672,[1914],The Man and the Moment
673,[1914],The Adventures of Kathlyn
674,[1914],The Story of Wool
675,[1914],"All for a Scrap of Paper, A Romance of the Present War"
676,[1914],At the Earth's Core
677,[1914],"Innocent, Her Fancy and His Fact"
678,[1914],"Personality Plus, Some Experiences of Emma McChesney and Her Son, Jock"
679,[1914],"The Pirate of Panama, A Tale of the Fight for Buried Treasure"
680,[1914],The Beasts of Tarzan
681,[1914],"The Marryers, A History Gathered from a Brief of The Honorable Socrates Potter"
682,[1914],The Grandchildren of the Ghetto
683,[1915],Chats on Japanese Prints
684,[1915],"Rada, A Belgian Christmas Eve"
685,[1915],The Research Magnificent
686,[1915],"The Jolliest Term on Record, A Story of School Life"
687,[1915],Song of the Lark
688,[1915],The Man from the Bitter Roots
689,[1915],"Kings, Queens And Pawns, An American Woman at the Front"
690,[1915],"Happy Pollyooly, The Rich Little Poor Girl"
691,[1915],"The Lord of Misrule, And Other Poems"
692,[1915],The Highgrader
693,[1915],Jean of the Lazy A
694,[1915],"France At War, On the Frontier of Civilization"
695,[1915],K
696,[1915],"The Daughter of the Storage, And Other Things in Prose and Verse"
